datetime,la_temp_mean,la_temp_max,la_temp_min,la_rhum_mean,la_prcp_sum,la_wspd_mean,sf_temp_mean,sf_temp_max,sf_temp_min,sf_rhum_mean,sf_prcp_sum,sf_wspd_mean,sd_temp_mean,sd_temp_max,sd_temp_min,sd_rhum_mean,sd_prcp_sum,sd_wspd_mean,sj_temp_mean,sj_temp_max,sj_temp_min,sj_rhum_mean,sj_prcp_sum,sj_wspd_mean,fresno_temp_mean,fresno_temp_max,fresno_temp_min,fresno_rhum_mean,fresno_prcp_sum,fresno_wspd_mean,load_mw_mean,load_mw_max,load_mw_min,load_mw_std,year,month,day,day_of_week,day_name,day_of_year,is_weekend,target_load_mw_mean
2024-05-27,16.508333333333333,22.1,12.1,76.91666666666667,0.0,12.741666666666667,14.1875,18.8,11.2,73.04166666666667,0.0,17.495833333333334,17.1375,19.4,15.6,74.45833333333333,0.0,7.75,17.241666666666667,24.4,11.7,61.75,0.0,11.295833333333334,23.375,31.0,16.0,41.541666666666664,0.0,10.441666666666666,20176.125,26713.583333333332,15324.5,3454.8790280456947,2024,5,27,0,Monday,148,0,20176.125
2024-05-28,16.337500000000002,21.2,12.4,79.25,0.0,11.633333333333333,14.262500000000001,18.6,12.1,75.41666666666667,0.0,18.795833333333334,16.349999999999998,19.4,15.0,76.83333333333333,0.0,8.9125,16.920833333333334,23.9,12.8,64.70833333333333,0.0,12.799999999999999,24.541666666666668,32.0,16.0,39.625,0.0,12.5,22418.74305555556,28558.75,18478.916666666668,3181.1640621647657,2024,5,28,1,Tuesday,149,0,22418.74305555556
2024-05-29,16.974999999999998,22.7,13.5,74.08333333333333,0.0,12.766666666666666,16.204166666666666,23.4,11.2,65.66666666666667,0.0,16.9875,16.283333333333335,18.9,15.0,76.95833333333333,0.0,9.558333333333334,19.333333333333332,27.8,13.3,50.875,0.0,11.341666666666667,23.820833333333336,32.0,16.0,33.666666666666664,0.0,16.391666666666666,23248.291666666668,28754.0,19045.75,2895.8294557371596,2024,5,29,2,Wednesday,150,0,23248.291666666668
2024-05-30,17.587500000000002,23.3,12.3,73.29166666666667,0.0,11.104166666666666,17.379166666666666,23.8,12.1,64.125,0.0,15.745833333333332,16.724999999999998,19.4,15.6,75.54166666666667,0.0,10.700000000000001,21.229166666666668,30.6,14.4,49.208333333333336,0.0,9.104166666666666,24.320833333333336,32.0,17.0,36.791666666666664,0.0,11.783333333333333,24085.96875,30236.75,20120.25,3278.3297776345544,2024,5,30,3,Thursday,151,0,24085.96875
2024-05-31,17.275000000000002,22.7,13.4,76.95833333333333,0.0,10.9,17.912499999999998,22.5,13.4,63.416666666666664,0.0,15.720833333333333,17.0625,20.0,15.6,74.08333333333333,0.0,10.654166666666667,23.058333333333334,30.6,16.1,45.166666666666664,0.0,10.4625,26.416666666666668,35.0,18.0,36.75,0.0,9.991666666666667,24579.17013888889,29715.916666666668,21415.25,2758.3705657191103,2024,5,31,4,Friday,152,0,24579.17013888889
2024-06-01,17.05,21.8,14.4,75.54166666666667,0.0,11.279166666666667,14.695833333333333,20.6,12.1,72.54166666666667,0.0,21.604166666666668,16.875,19.4,15.0,73.875,0.0,10.491666666666667,18.404166666666665,27.8,12.8,60.25,0.0,13.670833333333334,27.083333333333332,35.0,19.0,32.5,0.0,12.737499999999999,21776.881944444445,26730.916666666668,17406.916666666668,2822.4221020769855,2024,6,1,5,Saturday,153,1,21776.881944444445
2024-06-02,17.337500000000002,21.8,15.1,72.91666666666667,0.0,11.862499999999999,14.9,19.0,12.6,79.29166666666667,0.0,28.45,17.108333333333334,18.9,16.1,74.33333333333333,0.0,10.566666666666666,18.587500000000002,23.3,15.0,62.458333333333336,0.0,12.466666666666667,22.875,33.0,16.0,44.208333333333336,0.0,15.75,20753.440972222223,26602.333333333332,16938.583333333332,3070.6024395015597,2024,6,2,6,Sunday,154,1,20753.440972222223
2024-06-03,18.2,23.1,14.7,71.58333333333333,0.0,11.579166666666666,16.429166666666667,19.9,14.4,82.79166666666667,0.0,22.604166666666668,17.416666666666668,20.0,15.6,74.125,0.0,12.4,19.545833333333334,24.4,16.1,69.79166666666667,0.0,15.433333333333332,24.208333333333332,30.0,18.0,49.875,0.0,16.675,23755.80555555556,28215.75,20289.75,2368.55886858004,2024,6,3,0,Monday,155,0,23755.80555555556
2024-06-04,18.533333333333335,24.4,14.6,73.83333333333333,0.0,10.504166666666666,16.858333333333334,24.8,12.5,70.83333333333333,0.0,15.775,17.525,20.0,16.7,75.79166666666667,0.0,11.466666666666667,20.495833333333334,31.7,14.4,56.208333333333336,0.0,12.887500000000001,23.333333333333332,32.0,17.0,50.833333333333336,0.0,13.554166666666667,25327.604166666668,32567.083333333332,21175.333333333332,4041.4468544177766,2024,6,4,1,Tuesday,156,0,25327.604166666668
2024-06-05,19.308333333333334,25.1,15.7,74.0,0.0,10.0625,20.258333333333333,26.5,15.1,63.541666666666664,0.0,16.45,17.470833333333335,19.4,16.7,82.16666666666667,0.0,7.8,25.5125,33.3,18.3,50.0,0.0,9.579166666666667,29.125,37.0,23.0,48.083333333333336,0.0,9.174999999999999,28126.92361111111,35552.083333333336,22675.583333333332,4365.9620282724445,2024,6,5,2,Wednesday,157,0,28126.92361111111
